# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
83800 -12.3721 13.6102
83900 -13.3534 13.9211
84000 -12.7881 14.6334
84100 -12.6129 14.6077
84200 -13.6091 14.7123
84300 -14.3869 14.6981
84400 -12.4304 13.8433
84500 -11.6042 14.1853
84600 -11.7988 13.3133
84700 -11.2712 13.827
84800 -12.1581 13.9898
84900 -13.4281 14.7069
85000 -13.0137 14.7567
85100 -12.0736 14.9901
85200 -12.0862 14.4505
85300 -12.0992 13.5283
85400 -11.5336 15.3253
85500 -12.173 14.4484
85600 -12.0854 14.3677
85700 -13.5615 15.4223
85800 -12.8689 15.9443
85900 -12.0207 14.6632
86000 -11.2398 14.2164
86100 -11.9652 15.6885
86200 -11.2797 14.7276
86300 -11.9974 15.1469
86400 -10.2414 14.5269
86500 -11.3977 13.7627
86600 -12.0691 13.3118
86700 -10.8588 13.2882
86800 -12.1186 14.5051
86900 -11.633 15.0123
87000 -10.9686 14.3114
87100 -12.1251 15.2067
87200 -13.2624 15.0018
87300 -12.7286 15.4341
87400 -14.4906 14.6109
87500 -11.9524 15.0254
87600 -12.5502 15.4603
87700 -12.8684 15.7068
87800 -13.066 14.1978
87900 -11.6093 14.2266
88000 -12.577 14.5326
88100 -11.6301 14.9323
88200 -12.2667 15.5883
88300 -11.987 15.7788
88400 -13.3739 15.9206
88500 -13.782 14.8761
88600 -13.4109 15.0954
88700 -12.9462 14.0713
88800 -13.6206 14.1178
88900 -13.7736 15.1925
89000 -12.5257 15.0759
89100 -11.7585 15.0426
89200 -10.5157 15.5763
89300 -11.6543 14.8811
89400 -11.5936 14.2267
89500 -12.0419 14.4334
89600 -13.4978 13.7629
89700 -12.8402 14.8568
89800 -12.6991 14.7624
89900 -13.2246 15.2366
90000 -14.534 15.7389
90100 -13.5629 14.1693
90200 -12.9428 14.5997
90300 -13.1452 14.2143
90400 -11.934 15.0237
90500 -10.9374 16.2092
90600 -11.3763 16.2215
90700 -10.3225 15.6246
90800 -12.2733 15.1002
90900 -11.3199 13.8937
91000 -11.8501 14.6916
91100 -11.5841 15.6312
91200 -11.544 15.388
91300 -12.5304 14.9982
91400 -12.2969 14.7315
